review_id,entity_type,entity_text,start_position,end_position,context
0,RECLINER,reclined,91,99,y premium. I loved how far it reclined – I could almost lie flat and
1,RECLINER,recline,29,36,"The seat was plush and could recline into a flat bed, which made m"
2,SEAT_MESSAGE,massage function,50,66,"The suite’s seat comes with a massage function and seat warmer, making the l"
2,SEAT_WARMER,seat warmer,71,82,"s with a massage function and seat warmer, making the long journey supe"
3,FOOTREST,legroom,85,92,"at is spacious with plenty of legroom, and I appreciated the person"
4,CUSHION,cushion,131,138,le night. I expected a softer cushion at this price.
5,RECLINER,reclining,80,89,"ave me a quiet space, and the reclining leather seat with adjustable "
5,MATERIAL,leather,90,97,"uiet space, and the reclining leather seat with adjustable footrest"
5,FOOTREST,footrest,119,127, leather seat with adjustable footrest let me stretch out comfortabl
6,SEAT_MESSAGE,massage,88,95,pecially enjoyed the built-in massage – it kept me relaxed througho
7,RECLINER,seat angle,112,122,to use and I could adjust the seat angle for reading or napping easily
8,TRAYTABLE,tray table,90,100," which was nice. However, the tray table was pretty small – barely fit"
9,MATERIAL,leather,26,33,"A truly premium feel. The leather seat is soft, and you get a p"
10,RECLINER,reclining,28,37,"I appreciated the big, cozy reclining seat and the personal space. "
11,RECLINER,reclining,21,30,Absolutely loved the reclining seat and the fact that it has
11,SEAT_MESSAGE,massage,63,70,at and the fact that it has a massage function. The journey felt sh
12,RECLINER,reclined,128,136,de when I closed the door and reclined my seat.
13,RECLINER,reclines,40,48,"rain seat I’ve ever tried. It reclines completely flat, and the buil"
14,RECLINER,recline,142,149,"ne seat, complete with a full recline and massage feature."
14,SEAT_MESSAGE,massage,154,161,plete with a full recline and massage feature.
15,RECLINER,reclining,59,68,t is absolutely worth it. The reclining seat was super comfy for the 
16,CUSHION,cushioning,115,125,"ol that it lies flat, but the cushioning felt a little firm when sleep"
17,FOOTREST,legroom,77,84, seat is excellent with great legroom. The only con: the fold-out t
18,RECLINER,reclined,84,92,urprisingly accommodating. It reclined fully and I could stretch out
19,SEAT_WARMER,seat warming,40,52,experience! The seat even had seat warming and a massage function. Fell 
19,SEAT_MESSAGE,massage function,59,75,t even had seat warming and a massage function. Fell asleep with the gentle 
20,CUSHION,cushion,84,91,nt is pure luxury. The seat’s cushion is so soft and there’s even a
20,FOOTREST,footrest,122,130,is so soft and there’s even a footrest and blanket provided.
21,TRAYTABLE,tray table,92,102,"te. The only minor issue: the tray table is small, but I managed fine "
22,MATERIAL,leather,89,96,"rline seat in many ways. It’s leather, fully reclining, and even ha"
22,RECLINER,reclining,104,113,"any ways. It’s leather, fully reclining, and even has a massage funct"
22,TRAYTABLE,tray table,161,171,"assage function. However, the tray table is tiny and I struggled to pl"
23,HEADREST,headrest,111,119,"ue I encountered was that the headrest is fixed and not adjustable, "
24,MATERIAL,leather,33,40,depth experience: The suite’s leather seat felt premium and had all
24,BACKREST,backrest,112,120,"ols for every part (leg rest, backrest, etc.). It even rotates to fa"
25,ARMREST,armrest,27,34,"Detailed observations: The armrest hides a folding tray table, w"
25,SEAT_MESSAGE,seat’s massage,127,141,"d to exit the seat. Also, the seat’s massage feature worked well for me, b"
26,CUSHION,cushion,154,161,"sitting, could use a bit more cushion for sleeping positions and th"
27,CUSHION,cushioning,9,19,"The seat cushioning is plush and supportive, I wa"
28,TRAYTABLE,tray table,51,61, easy with the large fold-out tray table – it was like having a person
29,TRAYTABLE,tray table,22,32,"The seat comes with a tray table and personal lamp, all within"
30,FOOTREST,footrest,27,35,The seat has an adjustable footrest and headrest; I could positio
30,HEADREST,headrest,40,48,as an adjustable footrest and headrest; I could position everything 
31,RECLINER,recline,26,33,“The suite class seat can recline up to 180 degrees and also re
31,HEADREST,headrest,110,118,"th the train’s direction. The headrest, leg rest, and backrest angle"
31,FOOTREST,leg rest,120,128,"in’s direction. The headrest, leg rest, and backrest angles are adju"
31,BACKREST,backrest,134,142,". The headrest, leg rest, and backrest angles are adjustable. It has"
32,RECLINER,recliner,19,27,“The suite has one recliner seat and very spacious legroo
32,FOOTREST,legroom,51,58,cliner seat and very spacious legroom. The seat automatically rotat
32,ARMREST,armrest,133,140,"direction of travel. The left armrest slides back, revealing a fold"
33,RECLINER,reclines,228,236,"ite has a high-tech seat that reclines 180° like a bed, with a table"
33,SEAT_MESSAGE,massage feature,298,313,"a cup holder, and even a back massage feature.”"
34,RECLINER,recline,14,21,“The seat can recline up to 180 degrees to serve as
34,HEADREST,headrest,142,150," of travel. The angles of the headrest, leg rest, and backrest are a"
34,FOOTREST,leg rest,152,160,". The angles of the headrest, leg rest, and backrest are all adjusta"
34,BACKREST,backrest,166,174,"f the headrest, leg rest, and backrest are all adjustable, and the s"
34,SEAT_WARMER,seat heating,203,215,"t are all adjustable, and the seat heating level can be controlled. The "
34,SEAT_MESSAGE,massage feature,256,271,be controlled. The seat has a massage feature with various techniques. Each
35,HEADREST,headrest,110,118,"th the train’s direction. The headrest, leg rest, and backrest angle"
35,FOOTREST,leg rest,120,128,"in’s direction. The headrest, leg rest, and backrest angles are adju"
35,BACKREST,backrest,134,142,". The headrest, leg rest, and backrest angles are adjustable. It has"
35,SEAT_WARMER,seat heating,208,220,d-out tray table and includes seat heating and a massage function.”
35,SEAT_MESSAGE,massage function,227,243,d includes seat heating and a massage function.”
36,RECLINER,recliner,19,27,“The suite has one recliner seat and very spacious legroo
36,FOOTREST,legroom,51,58,cliner seat and very spacious legroom. The seat automatically rotat
36,ARMREST,armrest,133,140,"direction of travel. The left armrest slides back, revealing a fold"
37,RECLINER,recline,14,21,“The seat can recline up to 180 degrees to serve as
37,HEADREST,headrest,142,150," of travel. The angles of the headrest, leg rest, and backrest are a"
37,FOOTREST,leg rest,152,160,". The angles of the headrest, leg rest, and backrest are all adjusta"
37,BACKREST,backrest,166,174,"f the headrest, leg rest, and backrest are all adjustable, and the s"
37,SEAT_WARMER,seat heating,203,215,"t are all adjustable, and the seat heating level can be controlled. The "
37,SEAT_MESSAGE,massage feature,256,271,be controlled. The seat has a massage feature with various techniques. Each
38,HEADREST,Head-rest,0,9,"Head-rest, leg-rest and back-rest angle"
38,FOOTREST,leg-rest,11,19,"Head-rest, leg-rest and back-rest angles are indi"
