Metric_Type,Label,precision,recall,f1,support,tp,fp,fn
Overall_Entity,ALL,0.964824120603015,0.9696969696969697,0.9672544080604534,,,,
Per_Entity,MATERIAL,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0,25.0,2.0,2.0
Per_Entity,CUSHION,1.0,1.0,1.0,13.0,13.0,0.0,0.0
Per_Entity,FOOTREST,1.0,1.0,1.0,13.0,13.0,0.0,0.0
Per_Entity,HEADREST,1.0,1.0,1.0,14.0,14.0,0.0,0.0
Per_Entity,TRAYTABLE,0.9545454545454546,1.0,0.9767441860465117,21.0,21.0,1.0,0.0
Per_Entity,BACKREST,1.0,1.0,1.0,21.0,21.0,0.0,0.0
Per_Entity,ARMREST,1.0,1.0,1.0,22.0,22.0,0.0,0.0
Per_Entity,SEAT_WARMER,1.0,1.0,1.0,15.0,15.0,0.0,0.0
Per_Entity,RECLINER,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0,18.0,1.0,1.0
Per_Entity,SEAT_MESSAGE,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0,21.0,2.0,2.0
Per_Entity,LUMBAR_SUPPORT,0.9,0.9,0.9,10.0,9.0,1.0,1.0
